,team_id,team_name,country_name,match_count,goal_scored_total,goal_conceded_total,goal_scored_avg,goal_conceded_avg,dribbling,dribbling_class,passing,passing_class,speed,speed_class,assiting,assisting_class,crossing,crossing_class,shooting,shooting_class,defence,defence_class
27,8535,Fiorentina,Italy,60,100.0,75.0,1.6666666666666667,1.25,54,Normal,33,Short,34,Balanced,68,Risky,51,Normal,53,Normal,58,Medium
28,8540,Palermo,Italy,60,69.0,94.0,1.15,1.5666666666666667,66,Normal,36,Mixed,66,Balanced,60,Normal,34,Normal,64,Normal,44,Medium
29,8543,Lazio,Italy,59,91.0,69.0,1.5423728813559323,1.1694915254237288,65,Normal,55,Mixed,68,Fast,68,Risky,80,Lots,72,Lots,59,Medium
30,8558,RCD Espanyol,Spain,60,67.0,101.0,1.1166666666666667,1.6833333333333333,52,Normal,44,Mixed,50,Balanced,52,Normal,60,Normal,40,Normal,37,Medium
31,8560,Real Sociedad,Spain,60,72.0,77.0,1.2,1.2833333333333334,52,Normal,50,Mixed,60,Balanced,54,Normal,60,Normal,52,Normal,49,Medium
32,8564,Milan,Italy,60,80.0,75.0,1.3333333333333333,1.25,70,Lots,52,Mixed,48,Balanced,66,Normal,36,Normal,69,Lots,58,Medium
33,8581,Levante UD,Spain,60,59.0,107.0,0.9833333333333333,1.7833333333333334,36,Normal,65,Mixed,62,Balanced,71,Risky,42,Normal,65,Normal,36,Medium
34,8586,Tottenham Hotspur,England,57,103.0,64.0,1.8070175438596492,1.1228070175438596,46,Normal,40,Mixed,47,Balanced,41,Normal,41,Normal,63,Normal,63,Medium
35,8600,Udinese,Italy,60,58.0,94.0,0.9666666666666667,1.5666666666666667,54,Normal,63,Mixed,68,Fast,69,Risky,68,Lots,52,Normal,40,Medium
36,8603,Real Betis Balompié,Spain,38,34.0,52.0,0.8947368421052632,1.368421052631579,49,Normal,37,Mixed,59,Balanced,59,Normal,43,Normal,53,Normal,58,Medium
37,8633,Real Madrid CF,Spain,61,173.0,59.0,2.8360655737704916,0.9672131147540983,57,Normal,46,Mixed,50,Balanced,61,Normal,41,Normal,63,Normal,52,Medium
38,8634,FC Barcelona,Spain,60,181.0,43.0,3.0166666666666666,0.7166666666666667,35,Normal,51,Mixed,36,Balanced,36,Normal,49,Normal,56,Normal,61,Medium
39,8636,Inter,Italy,60,84.0,63.0,1.4,1.05,69,Lots,54,Mixed,58,Balanced,56,Normal,60,Normal,53,Normal,47,Medium
