METRO_ID,Metropolitan areas,Total GDP(millions),Percapita GDP
MEX47,Tlaxcala,3375.5,9431.0
MEX48,Cordoba,4339.0,12105.0
MEX49,Uruapan,3930.0,10430.0
MEX50,Tehuacan,3816.0,10828.0
MEX51,Minatitlan,4262.5,12105.0
MEX52,Cuautla,4197.0,11947.0
MEX53,Chilpancingo de los Bravo,2856.0,8062.0
MEX54,Monclova,8092.5,24490.0
MEX55,Los Cabos,7688.0,21431.0
MEX56,Colima,5306.5,16240.0
MEX57,La Paz,6427.5,21431.0
MEX59,Puerto Vallarta,5450.0,17454.0
MEX60,Salamanca,4399.0,14428.0
MEX61,San Juan del Rio,6808.0,22936.0
MEX62,Zamora,2996.5,10430.0
MEX63,Tulancingo de Bravo,3285.5,11366.0
NL001,The Hague,50990.0,48011.0
NL002,Amsterdam,163554.0,60857.0
NL003,Rotterdam,86019.0,51454.0
NL004,Utrecht,45890.0,52901.0
NL005,Eindhoven,40733.0,55064.0
NL006,Tilburg,12011.0,38508.0
NL007,Groningen,28766.0,60373.0
NL008,Enschede,14215.0,35418.0
NL009,Arnhem,16015.0,39484.0
NL010,Heerlen,11175.0,39359.0
NL012,Breda,16756.0,45568.0
NL013,Nijmegen,12784.0,43760.0
NL503,s-Hertogenbosch,12188.0,44736.0
NL507,Leiden,13060.0,37788.0
NL511,Zwolle,14083.0,40371.0
NO001,Oslo,87869.5,65869.0
NO002,Bergen,21388.0,52216.5
NO003,Trondheim,13726.5,50226.0
NO004,Stavanger,18792.0,56542.0
PL001,Warsaw,154737.0,49722.0
PL002,Lodz,25788.0,28035.0
PL003,Cracow,41537.0,29695.0
PL005,Poznan,38410.0,39308.0
PL006,Gdansk,32890.0,28668.0
PL010,Katowice,69131.0,27101.0
PL011,Bialystok,8483.0,19796.0
PL012,Kielce,7450.0,18717.0
PL014,Olsztyn,4984.0,19311.0
PL015,Rzeszow,10550.0,20752.0
PL016,Opole,5561.0,21973.0
PL020,Nowy Sacz,4018.0,15322.0
PL024,Czestochowa,8290.0,20744.0
PL025,Radom,5090.0,17847.0
PL506,Bielsko-Biala,9168.0,25045.0
PL514,Tarnow,4797.0,15749.0
PT001,Lisbon,97816.0,34782.0
PT002,Porto,31682.0,24819.0
PT005,Coimbra,6581.0,24548.0
SE001,Stockholm,137801.0,61754.0
SE002,Gothenburg,42814.0,43196.0
SE003,Malmo,24779.0,38297.0
SE006,Uppsala,11814.0,41790.0
SI001,Ljubljana,21636.5,40382.5
SI002,Maribor,7588.5,23497.5
SK001,Bratislava,43613.5,68399.5
SK002,Kosice,8266.0,22680.5
UK001,London,707550.5,59359.5
UK002,West Midlands urban area,90919.0,30780.0
UK003,Leeds,83457.0,32236.5
UK004,Glasgow,62435.5,34473.0
UK006,Liverpool,36803.0,30743.0
UK007,Edinburgh,38740.5,44329.0
UK008,Manchester,114496.5,34640.5
UK009,Cardiff,22345.5,28742.0
UK010,Sheffield,31363.0,26714.0
UK011,Bristol,40242.0,42832.5
UK012,Belfast,26922.5,34521.0
UK013,Newcastle upon Tyne,34265.0,29453.5
UK014,Leicester,28988.5,33132.5
UK016,Aberdeen,25908.5,52642.0
UK017,Cambridge,15461.5,42002.0
UK018,Exeter,14133.5,29749.0
UK019,Lincoln,8032.5,26480.0
UK023,Portsmouth,19533.0,36437.5
UK025,Coventry,22447.5,37866.0
UK026,Kingston upon Hull,16508.0,27670.0
UK027,Stoke-on-Trent,13429.0,28076.0
UK029,Nottingham,27728.0,30670.0
UK030,Wirral,7109.5,22082.0
UK033,Guildford,13737.5,50832.0
UK506,Doncaster,7448.0,24305.5
UK510,Sunderland,8255.5,29798.5
UK513,Medway,7261.0,26301.0
UK515,Brighton and Hove,15530.0,34477.5
UK516,Plymouth,11609.0,28924.5
UK517,Swansea,10494.5,27278.5
UK518,Derby,16413.5,34235.5
UK520,Southampton,26163.0,38534.5
UK525,Milton Keynes,17385.5,65668.5
UK528,Northampton,17235.5,36614.0
UK539,Bournemouth,16639.5,31536.5
UK546,Colchester,8728.0,26540.0
UK550,Dundee City,8252.5,31148.0
UK552,Reading,19903.0,61361.0
UK553,Blackpool,9159.5,27954.0
UK557,Blackburn with Darwen,8816.5,30709.5
UK559,Middlesbrough,12399.0,26337.5
UK560,Oxford,25676.5,47780.0
UK562,Preston,10555.0,42090.5
UK566,Norwich,12345.5,31013.0
UK568,Cheshire West and Chester,19083.0,39007.5
UK569,Ipswich,11493.5,32340.0
